iter	Passed	Remaining
139	8883	54569
140	8952	54538
141	9014	54469
142	9074	54382
143	9133	54292
144	9196	54228
145	9259	54164
146	9323	54099
147	9382	54011
148	9450	53973
149	9510	53890
150	9569	53807
151	9631	53733
152	9691	53649
153	9749	53559
154	9813	53500
155	9880	53453
156	9938	53366
157	10000	53294
158	10063	53226
159	10122	53145
160	10187	53089
161	10248	53013
162	10307	52931
163	10370	52864
164	10436	52813
165	10501	52758
166	10564	52694
167	10631	52652
168	10692	52578
169	10754	52508
170	10814	52426
171	10874	52348
172	10933	52268
173	10998	52211
174	11057	52129
175	11117	52052
176	11185	52009
177	11252	51964
178	11313	51891
179	11376	51827
180	11440	51767
181	11503	51700
182	11560	51613
183	11617	51519
184	11676	51438
185	11737	51367
186	11794	51277
187	11853	51195
188	11916	51133
189	11980	51075
190	12043	51010
191	12105	50942
192	12166	50871
193	12230	50814
194	12292	50746
195	12358	50696
196	12415	50609
197	12479	50547
198	12541	50480
199	12602	50410
200	12663	50340
201	12722	50261
202	12781	50182
203	12842	50109
204	12902	50036
205	12966	49976
206	13027	49905
207	13087	49833
208	13153	49781
209	13213	49708
210	13283	49672
211	13340	49586
212	13403	49522
213	13464	49453
214	13541	49441
215	13598	49357
216	13662	49297
217	13727	49242
218	13790	49178
219	13851	49110
220	13912	49040
221	13972	48966
222	14029	48883
223	14089	48811
224	14148	48733
225	14201	48635
226	14261	48564
227	14330	48524
228	14395	48466
229	14460	48410
230	14523	48350
231	14588	48293
232	14646	48212
233	14709	48150
234	14766	48071
235	14829	48007
236	14889	47934
237	14954	47880
238	15013	47803
239	15072	47729
240	15132	47658
241	15190	47580
242	15255	47525
243	15320	47469
244	15379	47395
245	15438	47320
246	15504	47267
247	15568	47207
248	15627	47132
249	15704	47112
250	15768	47052
251	15823	46968
252	15884	46900
253	15940	46816
254	16000	46745
255	16059	46673
256	16120	46605
257	16186	46552
258	16254	46505
259	16312	46429
260	16368	46346
261	16431	46284
262	16490	46211
263	16545	46127
264	16603	46049
265	16665	45988
266	16725	45918
267	16784	45843
268	16853	45798
269	16919	45745
270	16974	45662
271	17041	45611
272	17102	45543
273	17159	45465
274	17212	45379
275	17280	45330
276	17348	45281
277	17408	45212
278	17468	45142
279	17527	45069
280	17583	44991
281	17653	44947
282	17716	44886
283	17772	44807
284	17839	44754
285	17904	44698
286	17967	44636
287	18025	44563
288	18093	44513
289	18158	44457
290	18227	44409
291	18284	44333
292	18344	44264
293	18406	44201
294	18472	44146
295	18533	44079
296	18595	44015
297	18652	43940
298	18718	43885
299	18788	43840
300	18857	43790
301	18916	43719
302	18976	43652
303	19034	43578
304	19094	43511
305	19160	43455
306	19215	43376
307	19274	43305
308	19340	43249
309	19407	43197
310	19475	43145
311	19540	43090
312	19608	43038
313	19674	42982
314	19739	42926
315	19800	42858
316	19855	42779
317	19909	42699
318	19969	42630
319	20038	42580
320	20097	42511
321	20157	42442
322	20213	42367
323	20274	42300
324	20331	42227
325	20395	42167
326	20455	42099
327	20513	42027
328	20577	41968
329	20633	41893
330	20695	41828
331	20754	41758
332	20820	41704
333	20881	41636
334	20944	41576
335	21007	41515
336	21072	41458
337	21138	41401
338	21195	41328
339	21255	41261
340	21313	41189
341	21372	41121
342	21444	41076
343	21503	41006
344	21566	40944
345	21632	40888
346	21694	40826
347	21757	40764
348	21821	40704
349	21882	40638
350	21947	40581
351	22008	40514
352	22066	40445
353	22128	40381
354	22193	40324
355	22255	40259
356	22314	40190
357	22372	40120
358	22436	40061
359	22507	40014
360	22567	39946
361	22626	39878
362	22691	39819
363	22752	39754
364	22820	39700
365	22882	39638
366	22954	39591
367	23024	39542
368	23086	39478
369	23155	39426
370	23234	39392
371	23308	39348
372	23373	39289
373	23437	39229
374	23506	39177
375	23597	39161
376	23665	39108
377	23734	39055
378	23811	39015
379	23889	38977
380	23961	38930
381	24040	38892
382	24109	38839
383	24183	38794
384	24271	38771
385	24349	38731
386	24426	38691
387	24499	38643
388	24578	38604
389	24648	38552
390	24728	38515
391	24797	38460
392	24874	38418
393	24947	38370
394	25018	38318
395	25098	38281
396	25162	38218
397	25228	38159
398	25293	38098
399	25367	38050
400	25438	37999
401	25504	37940
402	25584	37901
403	25666	37864
404	25742	37819
405	25822	37779
406	25897	37733
407	25966	37677
408	26038	37624
409	26117	37583
410	26184	37524
411	26248	37460
412	26313	37399
413	26378	37337
414	26446	37280
415	26523	37235
416	26599	37187
417	26676	37143
418	26750	37093
419	26822	37040
420	26893	36986
421	26965	36934
422	27041	36886
423	27109	36827
424	27178	36770
425	27245	36711
426	27311	36649
427	27388	36602
428	27460	36550
429	27527	36489
430	27596	36431
431	27669	36379
432	27750	36338
433	27820	36281
434	27891	36227
435	27963	36173
436	28040	36125
437	28112	36071
438	28185	36018
439	28259	35966
440	28324	35904
441	28402	35856
442	28473	35800
443	28543	35743
444	28606	35677
445	28670	35613
446	28746	35562
447	28821	35511
448	28895	35460
449	28959	35395
450	29031	35339
451	29089	35268
452	29149	35198
453	29208	35127
454	29276	35067
455	29336	34998
456	29395	34927
457	29464	34868
458	29523	34798
459	29580	34724
460	29642	34658
461	29707	34594
462	29772	34530
463	29843	34474
464	29911	34414
465	29980	34355
466	30051	34299
467	30133	34254
468	30198	34190
469	30269	34133
470	30328	34062
471	30400	34007
472	30457	33934
473	30524	33872
474	30589	33809
475	30658	33750
476	30725	33688
477	30794	33629
478	30865	33572
479	30955	33534
480	31025	33476
481	31097	33420
482	31163	33357
483	31238	33303
484	31305	33242
485	31371	33179
486	31438	33117
487	31508	33057
488	31575	32995
489	31650	32942
490	31716	32879
491	31778	32811
492	31844	32749
493	31917	32692
494	31986	32632
495	32050	32567
496	32117	32505
497	32182	32441
498	32250	32379
499	32319	32319
500	32393	32263
501	32461	32202
502	32536	32148
503	32610	32092
504	32688	32040
505	32750	31973
506	32813	31906
507	32877	31842
508	32951	31786
509	33012	31717
510	33074	31650
511	33150	31596
512	33211	31528
513	33270	31458
514	33341	31398
515	33420	31347
516	33491	31289
517	33560	31227
518	33622	31160
519	33684	31093
520	33761	31039
521	33824	30973
522	33889	30908
523	33955	30845
524	34029	30788
525	34091	30721
526	34154	30654
527	34221	30591
528	34279	30521
529	34344	30456
530	34419	30400
531	34483	30335
532	34549	30271
533	34620	30212
534	34687	30148
535	34764	30094
536	34837	30036
537	34899	29969
538	34970	29910
539	35036	29846
540	35109	29787
541	35181	29729
542	35249	29666
543	35326	29611
544	35387	29543
545	35464	29488
546	35539	29432
547	35601	29365
548	35675	29307
549	35750	29250
550	35821	29190
551	35895	29132
552	35969	29074
553	36038	29012
554	36115	28957
555	36182	28893
556	36256	28835
557	36322	28771
558	36385	28705
559	36446	28636
560	36525	28582
561	36597	28522
562	36673	28466
563	36751	28410
564	36819	28347
565	36888	28285
566	36955	28221
567	37019	28155
568	37082	28088
569	37152	28027
570	37227	27969
571	37295	27906
572	37369	27847
573	37432	27780
574	37504	27720
575	37589	27669
576	37659	27608
577	37732	27548
578	37802	27486
579	37872	27425
580	37939	27360
581	38017	27305
582	38086	27242
583	38158	27181
584	38232	27121
585	38302	27060
586	38377	27001
587	38447	26939
588	38510	26872
589	38575	26806
590	38660	26754
591	38736	26696
592	38801	26630
593	38876	26572
594	38941	26506
595	39019	26449
596	39094	26390
597	39167	26330
598	39238	26268
599	39311	26207
600	39388	26149
601	39465	26091
602	39531	26026
603	39605	25966
604	39670	25900
605	39736	25835
606	39799	25767
607	39865	25702
608	39936	25640
609	40006	25577
610	40072	25512
611	40138	25447
612	40201	25380
613	40269	25315
614	40346	25257
615	40413	25192
616	40484	25130
617	40555	25068
618	40626	25005
619	40700	24945
620	40777	24886
621	40843	24821
622	40922	24763
623	40991	24700
624	41063	24638
625	41143	24581
626	41207	24514
627	41285	24455
628	41352	24391
629	41426	24329
630	41490	24263
631	41560	24200
632	41634	24138
633	41707	24077
634	41793	24023
635	41856	23955
636	41926	23892
637	41996	23828
638	42062	23763
639	42129	23697
640	42195	23632
641	42268	23570
642	42334	23504
643	42397	23437
644	42462	23370
645	42540	23311
646	42611	23248
647	42680	23184
648	42755	23123
649	42823	23058
650	42892	22994
651	42958	22928
652	43034	22868
653	43097	22800
654	43161	22733
655	43238	22673
656	43302	22606
657	43365	22539
658	43441	22478
659	43512	22415
660	43582	22351
661	43645	22284
662	43708	22217
663	43782	22154
664	43852	22090
665	43937	22034
666	44011	21972
667	44087	21911
668	44169	21853
669	44248	21794
670	44314	21727
671	44380	21661
672	44451	21598
673	44517	21532
674	44592	21470
675	44657	21403
676	44728	21340
677	44807	21280
678	44875	21215
679	44941	21148
680	45011	21084
681	45088	21023
682	45162	20961
683	45236	20898
684	45307	20834
685	45379	20771
686	45460	20711
687	45533	20648
688	45610	20587
689	45676	20521
690	45752	20459
691	45818	20393
692	45899	20333
693	45985	20276
694	46055	20211
695	46134	20150
696	46206	20087
697	46274	20021
698	46350	19959
699	46428	19898
700	46504	19835
701	46570	19769
702	46644	19705
703	46718	19642
704	46787	19577
705	46857	19512
706	46930	19449
707	47009	19388
708	47081	19324
709	47147	19257
710	47217	19192
711	47286	19127
712	47353	19060
713	47432	18999
714	47515	18939
715	47595	18878
716	47664	18813
717	47733	18747
718	47807	18684
719	47878	18619
720	47952	18555
721	48027	18492
722	48103	18429
723	48173	18364
724	48244	18299
725	48309	18232
726	48386	18169
727	48462	18107
728	48541	18044
729	48620	17983
730	48693	17918
731	48768	17855
732	48834	17788
733	48903	17722
734	48965	17654
735	49046	17592
736	49122	17529
737	49190	17463
738	49257	17396
739	49325	17330
740	49412	17271
741	49481	17205
742	49558	17142
743	49634	17078
744	49701	17012
745	49765	16944
746	49833	16878
747	49891	16808
748	49958	16741
749	50016	16672
750	50088	16607
751	50149	16538
752	50214	16471
753	50286	16406
754	50352	16339
755	50423	16274
756	50485	16206
757	50552	16139
758	50616	16071
759	50675	16002
760	50732	15933
761	50798	15866
762	50857	15797
763	50914	15727
764	50975	15659
765	51042	15592
766	51112	15527
767	51182	15461
768	51246	15393
769	51309	15326
770	51380	15260
771	51458	15197
772	51523	15130
773	51598	15066
774	51682	15004
775	51752	14938
776	51839	14878
777	51915	14814
778	51988	14748
779	52056	14682
780	52135	14619
781	52203	14552
782	52267	14485
783	52328	14416
784	52402	14352
785	52467	14285
786	52526	14216
787	52585	14147
788	52644	14078
789	52715	14012
790	52781	13946
791	52850	13879
792	52916	13813
793	52979	13745
794	53039	13676
795	53114	13612
796	53174	13543
797	53234	13475
798	53340	13418
799	53412	13353
800	53478	13286
801	53566	13224
802	53645	13160
803	53722	13096
804	53797	13031
805	53865	12965
806	53933	12898
807	54002	12832
808	54077	12767
809	54146	12701
810	54219	12635
811	54309	12574
812	54382	12508
813	54452	12442
814	54523	12376
815	54596	12310
816	54670	12245
817	54741	12179
818	54806	12112
819	54871	12044
820	54941	11978
821	55014	11913
822	55086	11847
823	55154	11780
824	55221	11713
825	55303	11649
826	55385	11586
827	55458	11520
828	55536	11455
829	55610	11390
830	55677	11323
831	55761	11259
832	55820	11190
833	55894	11125
834	55960	11058
835	56021	10989
836	56081	10921
837	56142	10853
838	56208	10786
839	56267	10717
840	56329	10649
841	56388	10581
842	56451	10513
843	56516	10446
844	56573	10377
845	56628	10308
846	56695	10241
847	56755	10173
848	56812	10104
849	56871	10036
850	56927	9967
851	56988	9899
852	57057	9832
853	57120	9765
854	57175	9696
855	57241	9629
856	57302	9561
857	57358	9492
858	57416	9424
859	57471	9355
860	57525	9286
861	57587	9219
862	57642	9150
863	57702	9082
864	57772	9016
865	57829	8948
866	57890	8880
867	57961	8814
868	58020	8746
869	58087	8679
870	58151	8612
871	58206	8544
872	58268	8476
873	58321	8407
874	58386	8340
875	58452	8274
876	58518	8207
877	58576	8139
878	58631	8071
879	58698	8004
880	58756	7936
881	58813	7868
882	58873	7800
883	58928	7732
884	58995	7666
885	59053	7598
886	59119	7531
887	59176	7463
888	59240	7396
889	59320	7331
890	59394	7266
891	59459	7199
892	59531	7133
893	59605	7067
894	59664	6999
895	59725	6932
896	59793	6865
897	59857	6798
898	59921	6731
899	59988	6665
900	60050	6598
901	60108	6530
902	60171	6463
903	60230	6396
904	60293	6329
905	60359	6262
906	60417	6194
907	60487	6128
908	60551	6061
909	60612	5994
910	60673	5927
911	60753	5862
912	60824	5795
913	60904	5730
914	60978	5664
915	61052	5598
916	61122	5532
917	61196	5466
918	61262	5399
919	61333	5333
920	61410	5267
921	61477	5200
922	61549	5134
923	61631	5069
924	61701	5002
925	61774	4936
926	61855	4871
927	61935	4805
928	62012	4739
929	62089	4673
930	62158	4606
931	62240	4541
932	62300	4473
933	62364	4406
934	62446	4341
935	62521	4274
936	62588	4208
937	62665	4142
938	62748	4076
939	62815	4009
940	62887	3942
941	62963	3876
942	63031	3809
943	63099	3743
944	63176	3676
945	63249	3610
946	63331	3544
947	63399	3477
948	63474	3411
949	63542	3344
950	63620	3278
951	63700	3211
952	63766	3144
953	63838	3078
954	63904	3011
955	63963	2943
956	64028	2876
957	64095	2810
958	64157	2742
959	64224	2676
960	64290	2609
961	64354	2542
962	64418	2475
963	64479	2407
964	64543	2340
965	64610	2274
966	64682	2207
967	64743	2140
968	64808	2073
969	64877	2006
970	64943	1939
971	65009	1872
972	65067	1805
973	65128	1738
974	65185	1671
975	65251	1604
976	65317	1537
977	65385	1470
978	65447	1403
979	65509	1336
980	65583	1270
981	65647	1203
982	65711	1136
983	65778	1069
984	65840	1002
985	65906	935
986	65973	868
987	66037	802
988	66095	735
989	66157	668
990	66214	601
991	66285	534
992	66360	467
993	66426	400
994	66490	334
995	66554	267
996	66617	200
997	66670	133
998	66727	66
999	66786	0
