iter	MultiQuantile:alpha=0.05,0.6,0.98
398	1.339173049
399	1.339100602
400	1.339042318
401	1.339005287
402	1.338930457
403	1.338844242
404	1.338788042
405	1.338732776
406	1.338641636
407	1.338548972
408	1.338469784
409	1.338378309
410	1.338343173
411	1.338276711
412	1.338240019
413	1.338180901
414	1.33813254
415	1.338055056
416	1.337977779
417	1.337919304
418	1.337861997
419	1.337799355
420	1.337732943
421	1.337676758
422	1.337634235
423	1.337608465
424	1.337574028
425	1.337495543
426	1.337457864
427	1.337399771
428	1.337369268
429	1.337334728
430	1.33730086
431	1.3372294
432	1.337154103
433	1.337079431
434	1.33701029
435	1.336952679
436	1.336912835
437	1.336854711
438	1.336760445
439	1.336691729
440	1.336641116
441	1.336594637
442	1.336563994
443	1.336478184
444	1.336416163
445	1.336360345
446	1.336281572
447	1.336244044
448	1.336199591
449	1.336169343
450	1.336107943
451	1.336048457
452	1.33601085
453	1.335972601
454	1.335899381
455	1.335844963
456	1.335811796
457	1.335743824
458	1.335682931
459	1.335634784
460	1.335590107
461	1.335542974
462	1.335506011
463	1.335447599
464	1.335392333
465	1.335341968
466	1.33526714
467	1.335205572
468	1.335142416
469	1.335085003
470	1.335053542
471	1.33498372
472	1.334936806
473	1.334883509
474	1.334856578
475	1.334787946
476	1.334765199
477	1.334717531
478	1.334660318
479	1.334609095
480	1.334576966
481	1.334545242
482	1.334520712
483	1.334469647
484	1.334395531
485	1.334325133
486	1.334291059
487	1.33423889
488	1.334197861
489	1.334163321
490	1.334112859
491	1.334049579
492	1.33399012
493	1.333921669
494	1.333853376
495	1.333808527
496	1.333779811
497	1.333753929
498	1.333728446
499	1.333700322
500	1.333648904
501	1.333575232
502	1.333516347
503	1.333478765
504	1.333434695
505	1.333417176
506	1.333353839
507	1.333306198
508	1.333252253
509	1.333209237
510	1.333148838
511	1.333095741
512	1.333051885
513	1.333031077
514	1.332999676
515	1.332951692
516	1.332901434
517	1.332864818
518	1.33280448
519	1.332780293
520	1.332732766
521	1.332691538
522	1.332666124
523	1.332597615
524	1.332553564
525	1.332500242
526	1.33247674
527	1.332436483
528	1.332422237
529	1.332366543
530	1.332303321
531	1.332269403
532	1.332248779
533	1.332195228
534	1.332137011
535	1.332083012
536	1.332023573
537	1.331985103
538	1.331937338
539	1.331883045
540	1.331825038
541	1.331778118
542	1.331729766
543	1.331681696
544	1.331641448
545	1.331597417
546	1.331550307
547	1.331517466
548	1.33148104
549	1.331436339
550	1.331392744
551	1.331339388
552	1.331314443
553	1.331287686
554	1.331233478
555	1.331176005
556	1.331135196
557	1.331083614
558	1.33105032
559	1.331021949
560	1.330960415
561	1.330911536
562	1.330878691
563	1.330823322
564	1.330799959
565	1.330778912
566	1.330733604
567	1.330717091
568	1.330696574
569	1.330641795
570	1.330600176
571	1.330560964
572	1.330507304
573	1.330468128
574	1.330424517
575	1.330381641
576	1.330352773
577	1.33030723
578	1.330272629
579	1.330234426
580	1.330210261
581	1.330176105
582	1.330144923
583	1.330101407
584	1.330046176
585	1.330011812
586	1.329982392
587	1.329942614
588	1.329923217
589	1.32988149
590	1.329829861
591	1.329775283
592	1.329757562
593	1.329720663
594	1.329678086
595	1.329618894
596	1.329560311
597	1.32952606
598	1.329495791
599	1.329458841
600	1.329404196
601	1.329346828
602	1.329325095
603	1.32926791
604	1.329243524
605	1.329222811
606	1.329177021
607	1.329141462
608	1.329093174
609	1.329073223
610	1.329030728
611	1.329015351
612	1.328980987
613	1.328960054
614	1.328916387
615	1.328894222
616	1.328853976
617	1.32882719
618	1.328771337
619	1.328735499
620	1.328690553
621	1.328673546
622	1.328628092
623	1.328589884
624	1.328559705
625	1.328523719
626	1.328483226
627	1.328435871
628	1.328396393
629	1.328348758
630	1.328320799
631	1.328280721
632	1.328247705
633	1.328208146
634	1.328170046
635	1.328150991
636	1.3281062
637	1.328084521
638	1.328068997
639	1.32803644
640	1.328008256
641	1.327986839
642	1.327946579
643	1.327900731
644	1.327857308
645	1.327814149
646	1.327784483
647	1.327748464
648	1.327716917
649	1.327681091
650	1.327658233
651	1.327620668
652	1.327590454
653	1.327559246
654	1.327528875
655	1.327479033
656	1.32745279
657	1.327428925
658	1.327411297
659	1.327389326
660	1.327364912
661	1.32734187
662	1.32731733
663	1.327288955
664	1.32724238
665	1.327212696
666	1.327172544
667	1.327136392
668	1.327099849
669	1.327068489
670	1.327054943
671	1.32703641
672	1.327014723
673	1.327001775
674	1.326974535
675	1.326946603
676	1.326927052
677	1.326880546
678	1.326842679
679	1.326809126
680	1.326794321
681	1.326749464
682	1.32671317
683	1.326688003
684	1.326661052
685	1.326626795
686	1.326582535
687	1.326542123
688	1.326509248
689	1.326485731
690	1.326460813
691	1.326424522
692	1.326377156
693	1.326344072
694	1.326326519
695	1.326296224
696	1.326257172
697	1.326218147
698	1.326196011
699	1.326172856
700	1.326145069
701	1.32611628
702	1.326094652
703	1.326057859
704	1.326034753
705	1.326020288
706	1.32599479
707	1.325960678
708	1.325925414
709	1.325895983
710	1.325876169
711	1.325855211
712	1.325813839
713	1.325779334
714	1.325744725
715	1.325718921
716	1.325690384
717	1.325675493
718	1.325636938
719	1.325610844
720	1.325589209
721	1.325555417
722	1.325519336
723	1.325480206
724	1.325452849
725	1.325425014
726	1.32539173
727	1.325349152
728	1.325323857
729	1.325294126
730	1.325254964
731	1.325227748
732	1.325191654
733	1.32516487
734	1.325135277
735	1.325101257
736	1.325064966
737	1.325038877
738	1.325002246
739	1.324982966
740	1.324949029
741	1.324932149
742	1.324893961
743	1.324858745
744	1.324833039
745	1.324801737
746	1.324775938
747	1.324765565
748	1.324735998
749	1.324715845
750	1.324690111
751	1.32466114
752	1.324628297
753	1.324597939
754	1.324565928
755	1.32455229
756	1.324535375
757	1.324502196
758	1.324469186
759	1.324437694
760	1.324413308
761	1.324384629
762	1.324356107
763	1.324344224
764	1.324318074
765	1.324297633
766	1.324266606
767	1.32424267
768	1.324220899
769	1.324196792
770	1.324166957
771	1.324143139
772	1.324129615
773	1.324096893
774	1.324058277
775	1.324041088
776	1.324009158
777	1.323973018
778	1.323952759
779	1.323939814
780	1.323905749
781	1.323877895
782	1.323867152
783	1.323856902
784	1.323829598
785	1.323801873
786	1.323793521
787	1.323778639
788	1.32374858
789	1.323710642
790	1.323678527
791	1.323649303
792	1.323624513
793	1.323616641
794	1.323586766
795	1.323560268
796	1.323546114
797	1.323523496
798	1.32350436
799	1.323475973
800	1.323450839
801	1.323421438
802	1.323407997
803	1.323385391
804	1.323351077
805	1.323332955
806	1.323307405
807	1.323295049
808	1.323269847
809	1.323243349
810	1.323228978
811	1.323192937
812	1.323179722
813	1.323153883
814	1.323126204
815	1.323097993
816	1.323072055
817	1.323039362
818	1.323029079
819	1.32300368
820	1.322980232
821	1.322957054
822	1.32292592
823	1.322894755
824	1.322884147
825	1.322859467
826	1.322831025
827	1.322817326
828	1.322791122
829	1.322776353
830	1.322765307
831	1.322739016
832	1.322716099
833	1.322700715
834	1.322680217
835	1.322651895
836	1.32262809
837	1.322606261
838	1.32256975
839	1.322555656
840	1.322523725
841	1.322514239
842	1.32248805
843	1.322465553
844	1.322445738
845	1.32243201
846	1.322407397
847	1.322381546
848	1.322368101
849	1.322354674
850	1.322341332
851	1.322318773
852	1.322290826
853	1.322273489
854	1.322264396
855	1.322242986
856	1.322219281
857	1.322192517
858	1.322163944
859	1.322156077
860	1.322133433
861	1.322110348
862	1.322087711
863	1.322058939
864	1.322030694
865	1.322009313
866	1.321988868
867	1.321964543
868	1.32193771
869	1.321904765
870	1.321881199
871	1.321858497
872	1.32184036
873	1.321821642
874	1.321793467
875	1.3217713
876	1.321750105
877	1.321724959
878	1.321699556
879	1.321669104
880	1.321661024
881	1.321648806
882	1.321622134
883	1.321611085
884	1.321578856
885	1.321560136
886	1.321526776
887	1.321515174
888	1.321484876
889	1.321463684
890	1.321451808
891	1.321434657
892	1.32140847
893	1.321381729
894	1.321372865
895	1.32134392
896	1.321320924
897	1.321295977
898	1.321273804
899	1.321250965
900	1.321235752
901	1.321212274
902	1.321192362
903	1.321173327
904	1.321153717
905	1.321125409
906	1.321114837
907	1.321083794
908	1.321064866
909	1.321048153
910	1.321035158
911	1.321012498
912	1.320990563
913	1.320973091
914	1.320955681
915	1.320937867
916	1.320922726
917	1.320895572
918	1.320884623
919	1.3208577
920	1.320829127
921	1.320814515
922	1.320803529
923	1.320775759
924	1.320752807
925	1.320728348
926	1.320712397
927	1.320685283
928	1.320667013
929	1.320651651
930	1.320637726
931	1.320614874
932	1.320607032
933	1.320590416
934	1.320566151
935	1.320538803
936	1.320530523
937	1.320505151
938	1.320486286
939	1.320461563
940	1.320436894
941	1.32041627
942	1.320403587
943	1.320384711
944	1.32036743
945	1.32035168
946	1.320329401
947	1.320307204
948	1.320286269
949	1.320269837
950	1.320241182
951	1.320220964
952	1.320197042
953	1.32017429
954	1.320157482
955	1.320139304
956	1.32011956
957	1.320109663
958	1.32008865
959	1.320060699
960	1.320036631
961	1.320023692
962	1.319996861
963	1.319977899
964	1.319953534
965	1.319930161
966	1.319905638
967	1.319895501
968	1.319869957
969	1.319843655
970	1.319824748
971	1.319807561
972	1.319784564
973	1.319768872
974	1.319758152
975	1.319738601
976	1.319721736
977	1.319698618
978	1.31967642
979	1.31966055
980	1.319640927
981	1.319620238
982	1.319604797
983	1.319591311
984	1.319581353
985	1.319565893
986	1.319542618
987	1.319525627
988	1.319510612
989	1.319488671
990	1.319467284
991	1.319445003
992	1.319417914
993	1.319400192
994	1.319378738
995	1.319353867
996	1.319329891
997	1.319323746
998	1.319311867
999	1.319298761
